Data,United States
2020-01-22 18:00:00,1
2020-01-23 18:00:00,1
2020-01-24 18:00:00,2
2020-01-25 18:00:00,2
2020-01-26 18:00:00,5
2020-01-27 18:00:00,5
2020-01-28 18:00:00,5
2020-01-29 18:00:00,5
2020-01-30 18:00:00,5
2020-01-31 18:00:00,7
2020-02-01 18:00:00,8
2020-02-02 18:00:00,8
2020-02-03 18:00:00,11
2020-02-04 18:00:00,11
2020-02-05 18:00:00,11
2020-02-06 18:00:00,11
2020-02-07 18:00:00,11
2020-02-08 18:00:00,11
2020-02-09 18:00:00,11
2020-02-10 18:00:00,11
2020-02-11 18:00:00,12
2020-02-12 18:00:00,12
2020-02-13 18:00:00,13
2020-02-14 18:00:00,13
2020-02-15 18:00:00,13
2020-02-16 18:00:00,13
2020-02-17 18:00:00,13
2020-02-18 18:00:00,13
2020-02-19 18:00:00,13
2020-02-20 18:00:00,13
2020-02-21 18:00:00,15
2020-02-22 18:00:00,15
2020-02-23 18:00:00,15
2020-02-24 18:00:00,51
2020-02-25 18:00:00,51
2020-02-26 18:00:00,57
2020-02-27 18:00:00,58
2020-02-28 18:00:00,60
2020-02-29 18:00:00,68
2020-03-01 18:00:00,74
2020-03-02 18:00:00,98
2020-03-03 18:00:00,118
2020-03-04 18:00:00,149
2020-03-05 18:00:00,217
2020-03-06 18:00:00,262
2020-03-07 18:00:00,402
2020-03-08 18:00:00,518
2020-03-09 18:00:00,583
2020-03-10 18:00:00,959
2020-03-11 18:00:00,1281
2020-03-12 18:00:00,1663
2020-03-13 18:00:00,2179
2020-03-14 18:00:00,2727
2020-03-15 18:00:00,3499
2020-03-16 18:00:00,4632
2020-03-17 18:00:00,6421
2020-03-18 18:00:00,7783
2020-03-19 18:00:00,13677
2020-03-20 18:00:00,19100
2020-03-21 18:00:00,25489
2020-03-22 18:00:00,33276
2020-03-23 18:00:00,43847
2020-03-24 18:00:00,53740
